,id_Article,domaine,numero_loi,numero_decret,numero_arrete,declaration,numero_article,titre,date_signature,division_partie,division_livre,division_titre,division_sous_titre,division_chapitre,division_section,division_sous_section,section_application,loyer,type_terrain,region,ville,localite,categorie,type_habitation,contenu
431,432,,2008-43,2009-1450,,0,287,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Les réservoirs et les citernes auront leurs parois étanches et formées de matériaux qui pourront causer l’altération des eaux. L’utilisation du bois sera prohibée. Les réservoirs en fer seront traités par tous procédés susceptibles d’empêcher la corrosion du fer.
Les réservoirs enterrés ou partiellement enterrés ne pourront être distants de moins de 5 mètres des écuries, dépôts de fumier ou d’immondices, water-closets ; les bassins d’ornement ne seront autorisés qu’avec un système de vidange et de trop plein siphonné relié à l’égout s’il y a lieu.
Ils seront tenus en état constant de propreté et désinfectés. Leur suppression pourra être prescrite par le service d’hygiène. Les puits et citernes interdits à titre définitif seront comblés jusqu’au niveau du sol.
Tous les orifices de ventilation ou de puisage des puits, citernes ou réservoirs devront être minis de grillage moustiquaire.
Les bassins et réservoirs à air libre, lavoirs, abreuvoirs et récipients destinés à l’arrosage, devront être munis d’un radier d’écoulement avec une déclivité permettant l’évacuation complète de l’eau sans stagnation extérieure persistante ni écoulement sur la rue."
432,433,,2008-43,2009-1450,,0,288,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Les puits restent soumis à la législation et à la réglementation particulière édictée en la matière, notamment par le Code de l’Hygiène."
433,434,,2008-43,2009-1450,,0,289,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Les ouvrages destinés à recevoir les matières usées avec ou sans mélange d’eaux ménagères ou tout autre liquide, tels que notamment : égouts, fosses auront leurs revêtements intérieurs lisses et imperméables et seront hermétiquement fermés.
Les immeubles construits à proximité des canalisations d’eaux vannes y seront reliés par des conduites convenablement établies si la longueur de raccordement n’excède pas 60 mètres.
Les autres immeubles devront être pourvus d’installations devant satisfaire aux prescriptions de l’article R 290 ci-après.
Dans le délai d’un an qui suivra la mise en service de collecteurs d’égouts, les propriétaires seront tenus d’y relier les immeubles qui en seront éloignés de 60 mètres, soit par suppression de la fosse septique, soit par branchement de l’effluent sur l’égout.
Passé ce délai, les ouvrages provisoirement, tolérés, fosses, tinettes seront absolument interdits."
434,435,,2008-43,2009-1450,,0,290,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Il doit y avoir au moins deux cabinets d’aisance par immeuble ou villa, sauf en ce qui concerne les habitations économiques.
Si l’immeuble contient plusieurs studios ou logements distincts, chaque studio ou logement doit avoir un cabinet d’aisance. En outre, il doit y avoir un W.C pour le personnel par groupe de six
logements maximum.
Dans le cas des pièces habitables louées isolément ou par groupe de deux (02), il doit y avoir un cabinet d’aisance par six (06) pièces habitables. Les locaux à usage de magasins ou de bureaux, situés au rez-de-chaussée, doivent avoir des W.C dans leurs annexes ou dans les cours où ils ont accès directement à raison de deux (02) W.C pour 150 m².
Les locaux où se réunissent un grand nombre de personnes (cafés, brasseries, restaurants) seront pourvus de W.C et urinoirs remplissant les conditions d’aération prévues pour les habitations. Ils doivent être précédés d’un sas les isolants des salles de consommation. Le nombre de ces installations sera fixé par les prescriptions techniques édictées par arrêté conjoint du Ministre chargé de l’Urbanisme et du Ministre chargé de la Santé."
435,436,,2008-43,2009-1450,,0,291,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Tout cabinet d’aisance sera installé dans un local aéré et éclairé directement.
Il devra comporter un poste d’eau et un dispositif d’écoulement et satisfaire pour le surplus aux prescriptions techniques édictées par arrêté conjoint du Ministre chargé de l’Urbanisme et du Ministre chargé de la Santé. Article R 292.
Les évacuations des postes d’eau, éviers, baignoires et douches placées dans les immeubles seront obligatoirement raccordées aux conduites d’égouts par les tuyauteries ayant un diamètre intérieur minimum de 25 m/m pour les lavabos, postes et bidets ; 30 m/m pour les douches et baignoires, 35 m/m pour les éviers avec interposition de siphons. Les trop pleins devront comporter les mêmes dispositions d’occlusion hydraulique.
Les siphons dits « à cloche » seront absolument proscrits à l’intérieur des locaux. Ils pourront être utilisés pour les postes d’eau établis à l’extérieur."
436,437,,2008-43,2009-1450,,0,293,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Les installations sanitaires pourront comporter des vidoirs à la condition qu’ils soient traités comme des W.C avec siège à l’anglaise (chasse et siphon).
Ces appareils ne pourront recevoir que des eaux ménagères à l’exclusion de matières fécales. Ils ne devront en aucun cas se déverser dans les fosses sceptiques."
437,438,,2008-43,2009-1450,,0,294,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Les fosses d’aisance et les fosses sceptiques installées dans les parties des villes non pourvues d’égouts publics, devront respecter la réglementation suivante.
Il est interdit de mettre en service des fosses d’aisance, des fosses sceptiques ou tous autres appareils reposant sur les principes de solubilisation et de désintégration des matières
excrémentielles par voie biologique, si ces appareils ne sont pas pourvus de dispositifs d’épurement capables de produire des effluents imputrescibles et inodores.
Les fosses d’aisance étanches peuvent être installées dans toutes les parties des villes non pourvues d’égouts publics.
Les fosses d’aisance et les fosses sceptiques devront être conformes aux prescriptions techniques édictées par arrêté conjoint du Ministre chargé de l’Urbanisme et du Ministre chargé de la Santé.
Seront comblées à première vidange après avoir été vidées, curées et désinfectées, toutes les fosses ne répondant pas aux conditions imposées ci-dessus et notamment les fosses :
sans communication avec l’air extérieur (ventilations) ;
sans ouverture d’extraction réglementaire ;
établies en cave ou seconde cave et dont le vidange se fera par des soupiraux ou tuyaux ;
qui comporteront des saillies de maçonnerie ;
non étanches ;
établies sans contre-mur contre un mur mitoyen ;
établies à petite distance des puits (10 mètres minimum) ;
supprimées par suite du branchement ultérieur à l’égout ;
raccordées au réseau d’égout.
Les matériaux infectés provenant de réparation ou de construction de fosses d’aisance seront enlevés immédiatement. En aucun cas, ces fosses étanches ne recevront directement les eaux et matières des cabinets d’aisance."
438,439,,2008-43,2009-1450,,0,295,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Les raccordements au réseau de la ville, des installations sanitaires régulièrement autorisées et acceptées, seront exécutés conformément au cahier des charges de la société gérante ou concessionnaire."
439,440,,2008-43,2009-1450,,0,296,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,Toute réparation d’une partie d’un branchement particulier comprise dans les limites de la voie publique sera assurée dans les conditions fixées par le cahier des charges de la société gérante ou concessionnaire.
440,441,,2008-43,2009-1450,,0,297,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Lorsqu’un collecteur d’égout appartenant au réseau de la ville aura une partie de son parcours compris dans les limites d’une propriété privée, il résultera de sa situation une servitude publique.
Le propriétaire du terrain, dans ce cas, établira un branchement particulier jusqu’à une distance horizontale d’au moins un mètre du collecteur. Il lui est interdit de mettre à nu le collecteur et de s’y raccorder directement.
Le propriétaire ne pourra s’opposer à l’exécution par la société concessionnaire de tous travaux se rapportant au collecteur situé sur son terrain, mais il sera en droit de réclamer la réparation des dommages anormaux qui pourront résulter de l’exécution des travaux.
En cas de d’empiètement sur un collecteur d’égout déjà existant, obligation est faite au propriétaire de se conformer notamment aux servitudes des canalisations d’assainissement, à défaut, l’autorité compétente peut ordonner, après sommaire, la remise en état des lieux aux frais de l’intéressé."
441,442,,2008-43,2009-1450,,0,298,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Il est interdit d’apporter une modification aux installations autorisées, sans le dépôt préalable d’une soumission et des plans de modifications projetées."
442,443,,2008-43,2009-1450,,0,299,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Il est interdit d’introduire dans les égouts des corps solides, ordures, d’y écouler des eaux chaudes dont la température sera supérieure à 45 à leur arrivée dans les collecteurs ou des eaux avides, résidus de fabrication ; d’y déverser des matières, qu’elles soient susceptibles de causer des dégradations quelconques ou collecteur et aux ouvrages accessoires ou d’y donner naissance à des gaz incommodes, dangereux, inflammables.
Les propriétaires seront directement responsables envers l’administration ou la société concessionnaire et envers les tiers de tous les dommages auxquels pourraient donner lieu soit les appareils de vidange, soit l’écoulement des liquides en provenant.
Ils seront responsables des obstructions qui pourraient se produire dans les égouts du fait des occupants de leur immeuble."
443,444,,2008-43,2009-1450,,0,300,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,SOUS_TITRE II. - DISPOSITIONS TECHNIQUES,CHAPITRE VII. - REGLES SANITAIRES,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Le personnel de l’administration spécialement habilité à cet effet, pourra, après préavis de 24 heures au moins, se présenter dans les maisons, mêmes habitées, en justifiant de leur qualité et effectuer les investigations strictement nécessaires pour contrôler l’observation des règlements relatifs aux installations sanitaires. Ces agents devront être porteurs d’une carte professionnelle dont la production pourra être exigée par l’occupant de l’immeuble."
444,445,,2008-43,2009-1450,,0,301,Autorisation de construire à titre temporaire,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS TITRE III. _ AUTORISATION DE CONSTRUIRE A TITRE TEMPORAIRE, AUTORISATION DE DEMOLIR, CERTIFICAT DE DEMOLITION",,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"L’autorisation de construire à titre temporaire peut être délivrée sur des terrains qui doivent faire l’objet d’occupation provisoire ou comporter des installations légères aux termes des dispositions législatives et réglementaires en vigueur.
L’autorisation de construire à titre temporaire prescrit, s’il y a lieu, l’établissement aux frais du demandeur et par voie d’expertise contradictoire, un état descriptif des lieux.
Cette autorisation peut fixer également un délai à l’expiration duquel le requérant doit procéder à la remise en état des lieux dans les conditions prévues par les dispositions législatives et réglementaires en vigueur ou le titre portant droit d’occupation du terrain.
L’autorisation de construire à titre temporaire est instruite et délivrée dans les formes prévues par le sous-titre I du présent Code."
445,446,,2008-43,2009-1450,,0,302,Autorisation de démolir,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS TITRE III. _ AUTORISATION DE CONSTRUIRE A TITRE TEMPORAIRE, AUTORISATION DE DEMOLIR, CERTIFICAT DE DEMOLITION",,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Le permis de démolir est un acte administratif, par lequel l’autorité compétente autorise la démolition d’une construction.
Comme le permis de construire, cette obligation s’impose aux services publics et concessionnaires de services publics de l’Etat, des départements et des communes comme aux personnes privées, qui désirent procéder à la démolition d’une construction.
Le permis de démolir est exigé sur le territoire des communes, comme dans celui des agglomérations désignées par arrêté du Ministre chargé de l’Urbanisme.
Le dossier de demande de permis de démolir comprend :
la demande de permis de démolir signée par la personne qui entreprend la démolition ou par son mandataire ;
le titre de propriété ;
le plan de situation ;
le plan d’état des lieux ;
la note indiquant l’utilisation actuelle de la construction à démolir, sa surface et les motifs de la démolition."
446,447,,2008-43,2009-1450,,0,303,Certificat de démolition,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS TITRE III. _ AUTORISATION DE CONSTRUIRE A TITRE TEMPORAIRE, AUTORISATION DE DEMOLIR, CERTIFICAT DE DEMOLITION",,,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,Le certificat de démolition est l’acte par lequel l’autorité compétente constate l’exécution des travaux ayant fait l’objet du permis de démolir.
447,448,,2008-43,2009-1450,,0,304,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION I. - DISPOSITIONS GENERALES,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Le présent chapitre a pour objet d’assurer la sécurité contre les risques d’incendie et de panique dans les établissements recevant du public. Les conditions imposées dépendent du nombre de personnes admises dans l’établissement, de la nature de son exploitation, de ses dimensions, de son installation et du mode de construction des bâtiments.
Elles font l’objet d’un règlement de sécurité établi par l’arrête n°5945 du 14 mai 1969 instituant les règles de sécurité contre les risques d’incendie et de paniques dans les établissements recevant du public.
Ce règlement comprend des dispositions générales communes et des dispositions particulières propres à chaque type d’établissement.
Les mesures prescrites sont applicables, sous réserves des dispositions formulées à la section III, à tous les établissements dans lesquels l’effectif public, tel que défini aux articles R 305 et R 306 ci-après, atteint le chiffre indiqué pour chaque type d’exploitation par le règlement y afférent."
448,449,,2008-43,2009-1450,,0,305,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION I. - DISPOSITIONS GENERALES,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Pour l’application du présent chapitre, sont considérés comme établissements recevant du public, tous ceux dans lesquels des personnes sont admises soit librement, soit moyennant une rétribution ou une participation quelconque, ou dans lesquels sont tenues des réunions ouvertes à tout venant ou sur invitation payante ou non.
Sont considérés comme faisant partie du public, toutes personnes admises dans l’établissement en plus du personnel, à quelque titre que ce soit, notamment les spectateurs, acheteurs, consommateurs, clients, voyageurs, malades, visiteurs, élèves ou étudiants, sportifs, etc."
449,450,,2008-43,2009-1450,,0,306,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION I. - DISPOSITIONS GENERALES,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"L’effectif du public est déterminé, suivant le cas, d’après le nombre de places assises, la surface réservée au public, la déclaration contrôlée du chef de l’établissement ou, par l’ensemble des indications fournies par ces divers éléments.
Les règles à appliquer sont celles du règlement de sécurité."
450,451,,2008-43,2009-1450,,0,307,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION I. - DISPOSITIONS GENERALES,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Pour l’application des règles de sécurité édictées, l’effectif du public doit être majoré de celui du personnel qui n’occupe pas de locaux indépendants, mais qui cependant possède leurs propres dégagements."
451,452,,2008-43,2009-1450,,0,308,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION II. - CLASSEMENT DES ETABLISSEMENTS SOUMIS A LA REGLEMENTATION,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Les établissements assujettis au présent chapitre sont répartis, selon la nature de leur exploitation, en types soumis chacun aux dispositions générales et communes et aux dispositions particulières qui lui sont propres.
Ces établissements sont d’autre part, quel que soit leur type, classés en quatre catégories, d’après l’effectif total des personnes reçues en additionnant l’effectif du public et celui du personnel.
1èrecatégorie : au dessus de 1.500 personnes ;
2èmecatégorie : de 701 à 1.500 personnes ;
3èmecatégorie : de 301 à 700 personnes ;
4èmecatégorie : de 51 à 300 personnes."
452,453,,2008-43,2009-1450,,0,309,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION II. - CLASSEMENT DES ETABLISSEMENTS SOUMIS A LA REGLEMENTATION,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Les établissements recevant du public ne figurant pas dans un des types mentionnés restent, néanmoins, assujettis aux prescriptions du présent chapitre.
Les mesures de sécurité à y appliquer seront déterminées par le représentant de l’Etat au niveau de la région en prenant comme directives, celles imposées aux types d’établissements dont la nature d’exploitation se rapproche le plus de celle considérée, après avis de la commission régionale de la protection civile.
Ces établissements peuvent faire, en tant que de besoin, l’objet d’un arrêté conjoint du Ministre chargé de la Protection civile et du Ministre chargé de l’Urbanisme et être classés à une cinquième catégorie."
453,454,,2008-43,2009-1450,,0,310,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION II. - CLASSEMENT DES ETABLISSEMENTS SOUMIS A LA REGLEMENTATION,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"La réparation en types d’établissements prévus à l’article R 308 ne s’oppose pas à l’existence, dans un même bâtiment, de plusieurs exploitations de types divers ou similaires ne répondant pas individuellement aux conditions d’implantation et d’isolement prescrites au règlement de sécurité. Toutefois, un tel groupement ne doit être autorisé que si les exploitations sont placées sous la responsabilité d’une personne unique en ce qui concerne les demandes d’autorisation de construire et l’observation des conditions de sécurité tant pour l’ensemble des exploitations que pour chacune d’elles.
Un tel groupement doit faire l’objet d’un examen spécial de la commission régionale de la protection civile qui, selon la catégorie, le type et la situation de chacune des exploitations composant le groupement, doit déterminer les dangers que présente pour le public l’ensemble de l’établissement et proposer au représentant de l’Etat les mesures de sécurité jugées nécessaires.
Tout changement de structure dans la direction ou l’affectation qu’il s’agisse ou non d’un démembrement de l’exploitation, doit faire l’objet d’une déclaration au représentant de l’Etat au niveau de la région qui imposera, après l’avis de la commission régionale de la protection civile, les mesures complémentaires rendues éventuellement nécessaires par les modifications résultant de cette nouvelle situation."
454,455,,2008-43,2009-1450,,0,311,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION II. - CLASSEMENT DES ETABLISSEMENTS SOUMIS A LA REGLEMENTATION,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,,0,,,,,,,Les locaux dépendant des établissements visés par le présent Code et soumis à une réglementation particulière restent assujettis à ladite réglementation en même temps qu’aux dispositions du présent chapitre.
455,456,,2008-43,2009-1450,,0,312,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION III. - CONDITIONS D’APPLICATION,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Les présentes dispositions ainsi que le règlement de sécurité sont applicables à tous les établissements ou locaux à construire, aux aménagements à effectuer dans les bâtiments existants ou aux modifications à apporter aux exploitations déjà autorisées. Dans ce dernier cas, l’application des prescriptions édictées sera exigée dans les parties modifiées et, éventuellement, dans les autres parties de l’établissement intéressées par ces modifications."
456,457,,2008-43,2009-1450,,0,313,,2009-12-30,,LIVRE II. - REGLES RELATIVES A L’ACTE DE CONSTRUCTION,TITRE II. - DE L’AUTORISATION DE CONSTRUIRE,"SOUS_TITRE IV. - PRESCRIPTIONS SPECIALES IMPOSEES AUX ETABLISSEMENTS RECEVANT DU PUBLIC, AUX IMMEUBLES DE GRANDE HAUTEUR, AUX ETABLISSEMENTS A CARACTERE INDUSTRIEL ET AUX ETABLISSEMENTS CLASSES",CHAPITRE PREMIER. - ETABLISSEMENTS RECEVANT DU PUBLIC,SECTION III. - CONDITIONS D’APPLICATION,SOUS_SECTION V. - PRESCRIPTIONS APPLICABLES A LA RESTRUCTURATION,réglementaire,0,,,,,,,"Certains établissements peuvent, en raison de leurs dispositions particulières, donner lieu à des prescriptions spéciales ou exceptionnelles, de même, des mesures d’exception peuvent être imposées, selon le cas, pour assurer la sécurité du public, du personnel et du voisinage.
Ces mesures spéciales ou exceptionnelles peuvent viser soit un établissement déterminé, soit un type ou une catégorie d’établissement. Elles sont prescrites par le représentant de l’Etat au niveau de la région après avis de la commission régionale de la protection civile.
Des dérogations exceptionnelles au règlement de sécurité peuvent être accordées pour des manifestations temporaires dans les formes prévues au paragraphe précédent. Toutefois, si l’effectif du public est supérieur à 3 000, la commission supérieure de la protection civile doit être consultée.
Dans tous les cas, des mesures compensatoires pourront être imposées."
